member_id,list_name,constituency,party,date_of_birth,gender,first_start_date,days_service
172,"Abbott, Ms Diane",Hackney North and Stoke Newington,Labour,,F,1987-06-11,9947
4212,"Abrahams, Debbie",Oldham East and Saddleworth,Labour,,F,2011-01-13,1449
4057,"Adams, Nigel",Selby and Ainsty,Conservative,,M,2010-05-06,1701
1586,"Afriyie, Adam",Windsor,Conservative,,M,2005-05-05,3504
306,"Ainsworth, Mr Bob",Coventry North East,Labour,,M,1992-04-09,8207
4069,"Aldous, Peter",Waveney,Conservative,,M,2010-05-06,1701
1535,"Alexander, Danny","Inverness, Nairn, Badenoch and Strathspey",Liberal Democrat,,M,2005-05-05,3504
632,"Alexander, Mr Douglas",Paisley and Renfrewshire South,Labour,,M,1997-11-06,6193
4038,"Alexander, Heidi",Lewisham East,Labour,,F,2010-05-06,1701
4138,"Ali, Rushanara",Bethnal Green and Bow,Labour,,F,2010-05-06,1701
364,"Allen, Mr Graham",Nottingham North,Labour,,M,1987-06-11,9947
44,"Amess, Sir David",Southend West,Conservative,,M,1983-06-09,11386
1486,"Anderson, Mr David",Blaydon,Labour,,M,2005-05-05,3504
4032,"Andrew, Stuart",Pudsey,Conservative,,M,2010-05-06,1701
56,"Arbuthnot of Edrom, L.",North East Hampshire,Conservative,,M,1987-06-11,9947
4244,"Ashworth, Jonathan",Leicester South,Labour,,M,2011-05-05,1337
1511,"Austin, Ian",Dudley North,Labour,,M,2005-05-05,3504
1451,"Bacon, Mr Richard",South Norfolk,Conservative,,M,2001-06-07,4908
320,"Bailey, Mr Adrian",West Bromwich West,Labour,,M,2000-11-23,5080
1610,"Bain, Mr William",Glasgow North East,Labour,,M,2009-11-12,1852
28,"Baker, Norman",Lewes,Liberal Democrat,,M,1997-05-01,6382
4064,"Baker, Mr Steve",Wycombe,Conservative,,M,2010-05-06,1701
93,"Baldry, Sir Tony",Banbury,Conservative,,M,1983-06-09,11386
4107,"Baldwin, Harriett",West Worcestershire,Conservative,,F,2010-05-06,1701
1549,"Balls, Ed",Morley and Outwood,Labour,,M,2005-05-05,3504
1589,"Banks, Gordon",Ochil and South Perthshire,Labour,,M,2005-05-05,3504
4095,"Barclay, Stephen",North East Cambridgeshire,Conservative,,M,2010-05-06,1701
1389,"Barker of Battle, L.",Bexhill and Battle,Conservative,,M,2001-06-07,4908
1390,"Baron, Mr John",Basildon and Billericay,Conservative,,M,2001-06-07,4908
392,"Barron, Sir Kevin",Rother Valley,Labour,,M,1983-06-09,11386
3955,"Barwell, Gavin",Croydon Central,Conservative,,M,2010-05-06,1701
385,"Bayley, Sir Hugh",York Central,Labour,,M,1992-04-09,8207
3910,"Bebb, Guto",Aberconwy,Conservative,,M,2010-05-06,1701
