member_id,list_name,constituency,party,date_of_birth,gender,first_start_date,days_service
172,"Abbott, Ms Diane",Hackney North and Stoke Newington,Labour,,F,1987-06-11,10035
4212,"Abrahams, Debbie",Oldham East and Saddleworth,Labour,,F,2011-01-13,1537
4057,"Adams, Nigel",Selby and Ainsty,Conservative,,M,2010-05-06,1789
1586,"Afriyie, Adam",Windsor,Conservative,,M,2005-05-05,3592
4427,"Ahmed-Sheikh, Ms Tasmina",Ochil and South Perthshire,Scottish National Party,,F,2015-05-07,0
4069,"Aldous, Peter",Waveney,Conservative,,M,2010-05-06,1789
4038,"Alexander, Heidi",Lewisham East,Labour,,F,2010-05-06,1789
4138,"Ali, Rushanara",Bethnal Green and Bow,Labour,,F,2010-05-06,1789
4411,"Allan, Lucy",Telford,Conservative,,F,2015-05-07,0
4516,"Allen, Heidi",South Cambridgeshire,Conservative,,F,2015-05-07,0
364,"Allen, Mr Graham",Nottingham North,Labour,,M,1987-06-11,10035
44,"Amess, Sir David",Southend West,Conservative,,M,1983-06-09,11474
1486,"Anderson, Mr David",Blaydon,Labour,,M,2005-05-05,3592
4032,"Andrew, Stuart",Pudsey,Conservative,,M,2010-05-06,1789
4512,"Ansell, Caroline",Eastbourne,Conservative,,F,2015-05-07,0
4362,"Argar, Edward",Charnwood,Conservative,,M,2015-05-07,0
4387,"Arkless, Richard",Dumfries and Galloway,Scottish National Party,,M,2015-05-07,0
4244,"Ashworth, Jonathan",Leicester South,Labour,,M,2011-05-05,1425
4399,"Atkins, Victoria",Louth and Horncastle,Conservative,,F,2015-05-07,0
1511,"Austin, Ian",Dudley North,Labour,,M,2005-05-05,3592
1451,"Bacon, Mr Richard",South Norfolk,Conservative,,M,2001-06-07,4996
320,"Bailey, Mr Adrian",West Bromwich West,Labour,,M,2000-11-23,5168
4064,"Baker, Mr Steve",Wycombe,Conservative,,M,2010-05-06,1789
4107,"Baldwin, Harriett",West Worcestershire,Conservative,,F,2010-05-06,1789
4095,"Barclay, Stephen",North East Cambridgeshire,Conservative,,M,2010-05-06,1789
4486,"Bardell, Hannah",Livingston,Scottish National Party,,F,2015-05-07,0
1390,"Baron, Mr John",Basildon and Billericay,Conservative,,M,2001-06-07,4996
392,"Barron, Sir Kevin",Rother Valley,Labour,,M,1983-06-09,11474
3955,"Barwell, Gavin",Croydon Central,Conservative,,M,2010-05-06,1789
3910,"Bebb, Guto",Aberconwy,Conservative,,M,2010-05-06,1789
328,"Beckett, Margaret",Derby South,Labour,,F,1974-10-10,26059
1441,"Bellingham, Sir Henry",North West Norfolk,Conservative,,M,1983-06-09,16470
413,"Benn, Hilary",Leeds Central,Labour,,M,1999-06-10,5700
1547,"Benyon, Richard",Newbury,Conservative,,M,2005-05-05,3592
17,"Bercow, John",Buckingham,Speaker,,M,1997-05-01,6470
103,"Beresford, Sir Paul",Mole Valley,Conservative,,M,1992-04-09,8295
4036,"Berger, Luciana","Liverpool, Wavertree",Labour,,F,2010-05-06,1789
4060,"Berry, Jake",Rossendale and Darwen,Conservative,,M,2010-05-06,1789
4489,"Berry, James",Kingston and Surbiton,Conservative,,M,2015-05-07,0
394,"Betts, Mr Clive",Sheffield South East,Labour,,M,1992-04-09,8295
3994,"Bingham, Andrew",High Peak,Conservative,,M,2010-05-06,1789
4421,"Black, Mhairi",Paisley and Renfrewshire South,Scottish National Party,,F,2015-05-07,0
4390,"Blackford, Ian","Ross, Skye and Lochaber",Scottish National Party,,M,2015-05-07,0
4005,"Blackman, Bob",Harrow East,Conservative,,M,2010-05-06,1789
4357,"Blackman, Kirsty",Aberdeen North,Scottish National Party,,F,2015-05-07,0
1501,"Blackman-Woods, Dr Roberta",City of Durham,Labour,,F,2005-05-05,3592
4019,"Blackwood, Nicola",Oxford West and Abingdon,Conservative,,F,2010-05-06,1789
4037,"Blenkinsop, Tom",Middlesbrough South and East Cleveland,Labour,,M,2010-05-06,1789
4058,"Blomfield, Paul",Sheffield Central,Labour,,M,2010-05-06,1789
104,"Blunt, Crispin",Reigate,Conservative,,M,1997-05-01,6470
3995,"Boles, Nick",Grantham and Stamford,Conservative,,M,2010-05-06,1789
1581,"Bone, Mr Peter",Wellingborough,Conservative,,M,2005-05-05,3592
4502,"Borwick, Victoria",Kensington,Conservative,,F,2015-05-07,0
